Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10u,
"C2, C4",0603,2,100n,
D1,D_SOD-123,1,D_Zener_Filled (3.3V),
D2,0603,1,LED,
D9,D_SMF,1,SMF5V0A,
J1,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,Conn_01x03_Socket,
"J2, J3",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_01x02_Socket,
Q1,LED_PLCC-2_3.4x3.0mm_KA,1,SFH320,
"R1, R2",0603,2,5.1k,
R3,0603,1,10k,
R4,0603,1,8.2k,
"R5, R8",0603,2,3k,
R6,0603,1,66k,
R7,0603,1,5.6k,
R9,0603,1,R,
U1,SOT-23,1,SS49E,
U2,MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm,1,LTC6081xMS8,
